bbox, -754.0833, 1456.7267, -1744.6004, 1510.2125, 587.9106, 1006.8083
cut, 0.0962, 2.1639, -0.6538, 0.053229, -0.611129, 0.786761, -0.068527
cut, 0.0914, 2.1627, -0.6538, 0.051314, -0.611292, 0.786972, -0.066062
cut, 0.0865, 2.1614, -0.6538, 0.049395, -0.611451, 0.787175, -0.063590
cut, 0.0817, 2.1602, -0.6538, 0.047471, -0.611603, 0.787371, -0.061114
cut, 0.0768, 2.1589, -0.6538, 0.045543, -0.611749, 0.787560, -0.058631
cut, 0.0720, 2.1577, -0.6538, 0.043610, -0.611890, 0.787741, -0.056144
cut, 0.0671, 2.1565, -0.6538, 0.041674, -0.612025, 0.787915, -0.053651
cut, 0.0623, 2.1552, -0.6538, 0.039734, -0.612154, 0.788081, -0.051153
cut, 0.0575, 2.1540, -0.6538, 0.037791, -0.612277, 0.788239, -0.048651
cut, 0.0526, 2.1528, -0.6538, 0.035843, -0.612394, 0.788390, -0.046144
cut, 0.0478, 2.1515, -0.6538, 0.033893, -0.612505, 0.788533, -0.043634
cut, 0.0429, 2.1503, -0.6538, 0.031940, -0.612610, 0.788668, -0.041119
cut, 0.0381, 2.1490, -0.6538, 0.029983, -0.612709, 0.788796, -0.038600
cut, 0.0332, 2.1478, -0.6538, 0.028024, -0.612802, 0.788915, -0.036078
cut, 0.0284, 2.1466, -0.6537, 0.026062, -0.612889, 0.789026, -0.033552
cut, 0.0235, 2.1453, -0.6537, 0.024098, -0.612969, 0.789130, -0.031024
cut, 0.0187, 2.1441, -0.6537, 0.022132, -0.613043, 0.789225, -0.028492
cut, 0.0139, 2.1429, -0.6537, 0.020163, -0.613111, 0.789313, -0.025958
cut, 0.0090, 2.1416, -0.6537, 0.018193, -0.613173, 0.789392, -0.023421
cut, 0.0042, 2.1404, -0.6537, 0.016221, -0.613228, 0.789463, -0.020883
cut, -0.0007, 2.1392, -0.6537, 0.014247, -0.613277, 0.789526, -0.018342
cut, -0.0055, 2.1379, -0.6537, 0.012273, -0.613320, 0.789581, -0.015800
cut, -0.0104, 2.1367, -0.6537, 0.010297, -0.613356, 0.789628, -0.013256
cut, -0.0152, 2.1354, -0.6537, 0.008320, -0.613386, 0.789667, -0.010711
cut, -0.0201, 2.1342, -0.6537, 0.006342, -0.613410, 0.789697, -0.008165
cut, -0.0249, 2.1330, -0.6537, 0.004364, -0.613427, 0.789719, -0.005618
cut, -0.0297, 2.1317, -0.6537, 0.002385, -0.613438, 0.789733, -0.003070
cut, -0.0346, 2.1305, -0.6537, 0.000406, -0.613442, 0.789739, -0.000523
cut, -0.0394, 2.1293, -0.6536, -0.001573, -0.613440, 0.789737, 0.002025
cut, -0.0443, 2.1280, -0.6536, -0.003552, -0.613432, 0.789726, 0.004573
cut, -0.0491, 2.1268, -0.6536, -0.005530, -0.613417, 0.789707, 0.007120
cut, -0.0540, 2.1255, -0.6536, -0.007508, -0.613396, 0.789680, 0.009666
cut, -0.0588, 2.1243, -0.6536, -0.009486, -0.613369, 0.789645, 0.012212
cut, -0.0637, 2.1231, -0.6536, -0.011462, -0.613335, 0.789602, 0.014756
cut, -0.0685, 2.1218, -0.6536, -0.013438, -0.613295, 0.789550, 0.017299
cut, -0.0733, 2.1206, -0.6536, -0.015412, -0.613249, 0.789490, 0.019841
cut, -0.0782, 2.1194, -0.6536, -0.017384, -0.613196, 0.789422, 0.022380
cut, -0.0830, 2.1181, -0.6536, -0.019355, -0.613137, 0.789346, 0.024918
cut, -0.0879, 2.1169, -0.6536, -0.021325, -0.613072, 0.789262, 0.027453
cut, -0.0927, 2.1157, -0.6536, -0.023292, -0.613000, 0.789170, 0.029986
cut, -0.0976, 2.1144, -0.6536, -0.025257, -0.612922, 0.789070, 0.032515
cut, -0.1024, 2.1132, -0.6535, -0.027220, -0.612838, 0.788962, 0.035042
cut, -0.1073, 2.1119, -0.6535, -0.029180, -0.612748, 0.788845, 0.037566
cut, -0.1121, 2.1107, -0.6535, -0.031137, -0.612652, 0.788721, 0.040086
